Participant ID,group
37b95e58-e6b4-4bb1-99b1-6ad4867059b7,22
9ac17979-215a-4227-8f4a-5b35dc09577a,12
840c4771-e5f0-40cd-906e-a0664389f2ea,7
d3935cb1-18e7-4ec3-a693-29c66fe9fed1,5
d22df3e7-70ec-47c8-99c6-2c66764cf5ee,29
8a2d5ede-f1ab-4bf9-b430-4d9e18c5ab92,16
f38767f5-9590-4d65-9804-d4f2ab6ff292,18
3dd6efe9-c649-42c3-8419-8709217a3c15,17
58f70089-b609-4890-a16f-1a570b74f02c,26
a525d72c-d03a-48f2-8fab-e707d2ebcf17,24
f5621f39-60cf-4289-b2d9-ee82323c7d2b,11
7f990e35-33e8-4468-9b94-6d819aee6d63,28
59f5d1d0-8bf0-4d55-84d5-06356cbdf02c,20
fc792356-1662-4b68-9730-65901e6b15ef,23
a3674207-17e6-4276-aad7-b3a659166264,35
a25eb8d0-bfd5-494a-af6f-4c842937fc6f,34
550c899f-a52c-4950-9441-609aa80ce48d,33
846d3c2d-ca61-423f-a4d9-e74fbe545133,26
08c92f33-2261-44f2-971a-4c5db0f15f02,18
e103bff7-91bf-47ce-8147-641c04ab4dc0,0
f2dcfedb-ff7e-42df-a73d-73c85bdf4807,14
fee61291-0871-4cd8-8d87-cb96da83710d,29
9f6bf7b0-9412-4cf1-8dbd-4c15891600f9,36
5e47f4c9-07ef-497d-8fad-24bafeaa8caf,24
d475537c-cb21-448c-aec6-d32f19acb0c8,8
a3d57343-5c27-44ae-80f1-cf5facdafcc4,25
25a617b2-658e-46ac-b439-78908f063115,21
eb7b417d-8efd-4905-b901-ab0f955de2fd,14
67f0f196-a3d1-4ff0-b375-2aec75f2fb5f,8
95346d95-4d80-4b18-a4c7-f8db391ce050,10
acfad4a1-8ed7-4b6e-a481-d48cb7ee5979,9
9c46babe-44e4-4df5-8d3a-b0ce0991d6c7,23
591b04a9-aea7-42ff-a4a9-ac37cd1eab14,36
e720c4e6-672b-4014-bc72-14988f1b7932,15
c62ceff6-5ba3-44f0-82e7-7f753a9b3f64,19
d7149c0e-f4c7-421d-9b4c-9299e45f74eb,0
3a5a5c1b-5182-4295-8ac3-b9e02de514b5,11
c99df8e3-e223-4286-a588-ff04730053d4,13
f0ca36a6-b969-4e4b-ac95-852a1c4b360c,22
ffb20552-42a3-4d13-a2fe-7c22aec527c3,36
3057c7d9-dea3-48f5-83d4-258116e9313e,12
0bba21b5-4b60-4786-bfe7-dac18373cc75,33
463361eb-a0d2-4bd3-8b47-d0448f2eff2f,22
d63dfb17-806b-4c77-bfb5-bc8b09b74710,10
584eaeec-981b-4770-be90-e65ea6eaa8a4,34
79e538e9-8468-4812-814f-3bf76969fff9,24
6a4c2c1c-58d0-40cf-943f-105844ac9112,1
f19b6764-47ca-4a0a-9a85-c586b24006de,1
554c609d-2bc5-4463-8779-9f048d944bf9,28
bd22b590-6418-4737-9a50-b5bd303e57d2,35
f8862591-2d78-4d09-8e08-3ff7f3217886,4
8e8758a7-f9e5-455e-9810-352f2f659451,2
12d0a0fe-590f-46ca-ab4a-5f0d97c11d8e,21
e4b2f993-a95e-4a83-936d-f2f811e65e1b,0
1c93ac63-459f-421f-afc6-13bbe446f94d,8
68c62200-725c-4180-acf5-715bdda85e74,28
e08a2f9c-bf53-404c-9db1-c3f235a701d7,10
d5ae42bf-9698-4f04-b73b-2429bbfa89ec,37
7e68961b-1f3d-4168-b577-734d1eeb8315,24
0eafab35-d466-41b1-9cb4-192462de6c5d,2
5bb73e0a-1eb6-486b-abfd-7653a8dab0b4,12
e193df49-3649-4f1a-987e-d15e4d3cbe2f,31
20ecbca1-e352-4f76-a9de-464ded4a127b,10
2e277c75-0f39-4204-a193-bed017ea1215,30
51d118e2-b9b0-4f7e-8ec7-aede73a3acd3,4
c51bbc1b-f105-41cc-855d-29fb40bbc5e5,34
610dc980-c0b6-4581-a75d-132b478038dc,29
